,m,n,pyearth,earth,time,forward_iterations,rsq
615,1500,100,1,0,0.793724775314,3,1.0
616,1500,100,0,1,0.657,3,0.996314310917
617,1500,100,1,0,0.796818971634,3,1.0
618,1500,100,0,1,0.526,3,0.994089018922
619,1500,100,1,0,0.791804075241,3,1.0
620,2000,100,0,1,0.738,3,0.993874159915
621,2000,100,1,0,1.00601601601,3,1.0
622,2000,100,0,1,0.708,3,0.995087453112
623,2000,100,1,0,0.993927955627,3,1.0
624,2000,100,0,1,0.862,3,0.997192999778
625,2000,100,1,0,1.00483608246,3,1.0
626,2000,100,0,1,0.864,3,0.996467663162
627,2000,100,1,0,1.00211381912,3,1.0
628,2000,100,0,1,1.082,4,0.998083674622
629,2000,100,1,0,1.00137400627,3,1.0
630,2500,100,0,1,1.108,3,0.996815343879
631,2500,100,1,0,1.22004294395,3,1.0
632,2500,100,0,1,1.087,3,0.996421943924
633,2500,100,1,0,1.22475790977,3,1.0
634,2500,100,0,1,0.878,3,0.994507665152
635,2500,100,1,0,1.21764206886,3,1.0
636,2500,100,0,1,1.101,3,0.997383514354
637,2500,100,1,0,1.23091197014,3,1.0
638,2500,100,0,1,0.879,3,0.993136420809
639,2500,100,1,0,1.21408295631,3,1.0
640,5000,100,0,1,2.33,3,0.997282033192
641,5000,100,1,0,2.4362449646,3,1.0
642,5000,100,0,1,2.263,3,0.996981276136
643,5000,100,1,0,2.50499200821,3,1.0
644,5000,100,0,1,2.298,3,0.997118698639
645,5000,100,1,0,2.44230890274,3,1.0
646,5000,100,0,1,2.255,3,0.997092611382
647,5000,100,1,0,2.40987300873,3,1.0
648,5000,100,0,1,2.228,3,0.99638265746
649,5000,100,1,0,2.45855379105,3,1.0
650,10000,100,0,1,5.99,3,0.996132851019
651,10000,100,1,0,6.24291300774,3,1.0
652,10000,100,0,1,5.856,3,0.997294328442
653,10000,100,1,0,6.22221302986,3,1.0
654,10000,100,0,1,6.031,3,0.99699785094
655,10000,100,1,0,6.2048099041,3,1.0
656,10000,100,0,1,4.243,3,0.993513887868
