,m,n,pyearth,earth,time,forward_iterations,rsq
240,1000,100,0,1,0.761,4,0.99842329922
241,1000,100,1,0,0.935287952423,3,1.0
242,1000,100,0,1,0.404,3,0.994762447877
243,1000,100,1,0,0.694828987122,3,1.0
244,1500,100,0,1,0.846,3,0.997065461438
245,1500,100,1,0,0.834266901016,3,1.0
246,1500,100,0,1,1.203,3,0.996867531091
247,1500,100,1,0,1.03441905975,3,1.0
248,2000,100,0,1,0.935,3,0.99661631388
249,2000,100,1,0,1.05292701721,3,1.0
250,2000,100,0,1,0.873,3,0.996786209753
251,2000,100,1,0,0.964787960052,3,1.0
252,2500,100,0,1,1.74,3,0.996211281938
253,2500,100,1,0,1.37463879585,3,1.0
254,2500,100,0,1,1.258,3,0.997359461982
255,2500,100,1,0,1.35185813904,3,1.0
256,5000,100,0,1,9.424,3,0.996923936121
257,5000,100,1,0,3.10913705826,3,1.0
258,5000,100,0,1,3.458,3,0.993446578974
259,5000,100,1,0,3.06662797928,3,1.0
260,10000,100,0,1,11.358,3,0.996256829949
261,10000,100,1,0,7.06414198875,3,1.0
262,10000,100,0,1,6.195,3,0.997232823458
263,10000,100,1,0,7.18174409866,3,1.0
264,100,150,0,1,0.167,3,0.996581448665
265,100,150,1,0,0.278073072433,3,1.0
266,100,150,0,1,0.157,5,0.996744955207
267,100,150,1,0,0.275469064713,3,1.0
268,200,150,0,1,0.189,3,0.997522125069
269,200,150,1,0,0.340205192566,3,1.0
270,200,150,0,1,0.193,3,0.994621172962
271,200,150,1,0,0.348278999329,3,1.0
272,300,150,0,1,0.281,4,0.997607932285
273,300,150,1,0,0.401762962341,3,1.0
274,300,150,0,1,0.206,2,0.996411991296
275,300,150,1,0,0.420050144196,3,1.0
276,400,150,0,1,0.286,3,0.993404602434
277,400,150,1,0,0.477056980133,3,1.0
278,400,150,0,1,0.294,3,0.994371533857
279,400,150,1,0,0.500054121017,3,1.0
280,500,150,0,1,0.39,3,0.998131421434
281,500,150,1,0,0.542623996735,3,1.0
282,500,150,0,1,0.385,3,0.997060709874
283,500,150,1,0,0.552869081497,3,1.0
284,1000,150,0,1,0.72,4,0.994297566564
285,1000,150,1,0,0.942904949188,3,1.0
286,1000,150,0,1,0.675,3,0.997078897571
287,1000,150,1,0,0.893004894257,3,1.0
288,1500,150,0,1,0.993,3,0.996812936137
289,1500,150,1,0,1.41173410416,3,1.0
290,1500,150,0,1,0.98,3,0.997171801522
291,1500,150,1,0,1.35787415504,3,1.0
292,2000,150,0,1,1.333,3,0.996968757332
293,2000,150,1,0,1.89025402069,3,1.0
294,2000,150,0,1,1.319,3,0.997586073891
295,2000,150,1,0,1.87426900864,3,1.0
296,2500,150,0,1,1.707,3,0.996769617935
297,2500,150,1,0,2.47823095322,3,1.0
298,2500,150,0,1,1.688,3,0.997270464871
299,2500,150,1,0,2.55681490898,3,1.0
300,5000,150,0,1,3.193,3,0.993638612991
301,5000,150,1,0,7.40727901459,3,1.0
302,5000,150,0,1,15.273,3,0.994143409528
303,5000,150,1,0,8.34561300278,3,1.0
304,10000,150,0,1,23.241,3,0.996693054306
305,10000,150,1,0,14.5444889069,3,1.0
306,10000,150,0,1,10.655,3,0.997286094
307,10000,150,1,0,13.724173069,3,1.0
308,100,200,0,1,0.241,4,0.998237275286
309,100,200,1,0,0.380630016327,3,1.0
310,100,200,0,1,0.239,6,0.997688174486
311,100,200,1,0,0.380761146545,3,1.0
312,200,200,0,1,0.302,4,0.99748801475
313,200,200,1,0,0.4896941185,3,1.0
314,200,200,0,1,0.248,2,0.99555640024
315,200,200,1,0,0.485738039017,3,1.0
316,300,200,0,1,0.349,3,0.997138129794
317,300,200,1,0,0.591307163239,3,1.0
318,300,200,0,1,0.455,4,0.99851507039
319,300,200,1,0,0.602043867111,3,1.0
320,400,200,0,1,0.464,4,0.994446207791
321,400,200,1,0,0.707864046097,3,1.0
322,400,200,0,1,0.462,4,0.994283562539
323,400,200,1,0,0.701704978943,3,1.0
324,500,200,0,1,0.474,3,0.994907894383
325,500,200,1,0,0.801414966583,3,1.0
326,500,200,0,1,0.642,4,0.998178057066
327,500,200,1,0,0.823046207428,3,1.0
328,1000,200,0,1,1.125,4,0.997993620354
329,1000,200,1,0,1.39092898369,3,1.0
330,1000,200,0,1,0.924,3,0.997116482262
331,1000,200,1,0,1.40085911751,3,1.0
332,1500,200,0,1,1.372,3,0.997435282236
333,1500,200,1,0,2.28966379166,3,1.0
334,1500,200,0,1,1.634,5,0.996890719664
335,1500,200,1,0,2.18064713478,3,1.0
336,2000,200,0,1,1.891,3,0.996897493226
337,2000,200,1,0,3.26911401749,3,1.0
338,2000,200,0,1,2.195,4,0.9968933805
339,2000,200,1,0,3.25352096558,3,1.0
340,2500,200,0,1,2.194,3,0.996101390439
341,2500,200,1,0,4.27123808861,3,1.0
342,2500,200,0,1,2.23,3,0.995691047033
343,2500,200,1,0,4.2478659153,3,1.0
344,5000,200,0,1,5.053,4,0.993255397635
345,5000,200,1,0,9.6673078537,3,1.0
346,5000,200,0,1,4.705,3,0.997058664739
347,5000,200,1,0,9.49714899063,3,1.0
348,10000,200,0,1,14.634,3,0.996654834568
349,10000,200,1,0,21.0720748901,3,1.0
350,10000,200,0,1,13.664,3,0.996423913605
351,10000,200,1,0,20.8696639538,3,1.0
352,100,400,0,1,0.442,5,0.995869410018
353,100,400,1,0,0.864487886429,3,1.0
354,100,400,0,1,0.448,5,0.994421393705
355,100,400,1,0,0.875931978226,3,1.0
356,200,400,0,1,0.536,3,0.99533791528
357,200,400,1,0,1.22065591812,3,1.0
358,200,400,0,1,0.601,4,0.998315702211
359,200,400,1,0,1.21824789047,3,1.0
360,300,400,0,1,0.654,4,0.994664856978
361,300,400,1,0,1.55959296227,3,1.0
362,300,400,0,1,0.647,3,0.99409640506
363,300,400,1,0,1.5508210659,3,1.0
364,400,400,0,1,1.05,4,0.99869000149
365,400,400,1,0,1.88968205452,3,1.0
366,400,400,0,1,1.087,4,0.998656436271
367,400,400,1,0,1.95482993126,3,1.0
368,500,400,0,1,1.053,3,0.997477111916
369,500,400,1,0,2.3489689827,3,1.0
370,500,400,0,1,1.232,4,0.998617457703
371,500,400,1,0,2.38202190399,3,1.0
372,1000,400,0,1,1.867,3,0.997147575254
373,1000,400,1,0,5.27252006531,3,1.0
374,1000,400,0,1,2.276,4,0.998563749158
375,1000,400,1,0,5.23763298988,3,1.0
376,1500,400,0,1,3.309,4,0.998234145795
377,1500,400,1,0,8.90187907219,3,1.0
378,1500,400,0,1,2.656,3,0.997172481836
379,1500,400,1,0,8.82546305656,3,1.0
380,2000,400,0,1,2.792,3,0.994296938316
381,2000,400,1,0,12.3991110325,3,1.0
382,2000,400,0,1,3.409,3,0.995509801867
383,2000,400,1,0,12.152985096,3,1.0
384,2500,400,0,1,4.701,3,0.997173924687
385,2500,400,1,0,15.4183568954,3,1.0
386,2500,400,0,1,3.568,3,0.994734199048
387,2500,400,1,0,17.3711569309,3,1.0
388,5000,400,0,1,14.192,3,0.995758790181
389,5000,400,1,0,32.2619099617,3,1.0
390,5000,400,0,1,11.685,3,0.997392658384
391,5000,400,1,0,34.1810441017,3,1.0
392,10000,400,0,1,97.645,3,0.996615629995
393,10000,400,1,0,68.4411461353,3,1.0
394,10000,400,0,1,63.723,3,0.997206279888
395,10000,400,1,0,68.4132940769,3,1.0
396,100,600,0,1,0.773,3,0.997588161185
397,100,600,1,0,1.4820690155,3,1.0
398,100,600,0,1,0.711,4,0.99737152387
399,100,600,1,0,1.47465491295,3,1.0
400,200,600,0,1,1.09,5,0.997877448423
401,200,600,1,0,2.20970988274,3,1.0
402,200,600,0,1,0.953,3,0.996584590284
403,200,600,1,0,2.21365404129,3,1.0
404,300,600,0,1,1.125,4,0.995499563972
405,300,600,1,0,2.97164201736,3,1.0
406,300,600,0,1,1.12,4,0.997148668951
407,300,600,1,0,2.96050190926,3,1.0
408,400,600,0,1,1.387,4,0.994146182097
409,400,600,1,0,3.91359996796,3,1.0
410,400,600,0,1,1.372,4,0.998250578141
411,400,600,1,0,4.0018851757,3,1.0
412,500,600,0,1,1.366,3,0.995379808467
413,500,600,1,0,5.24710988998,3,1.0
414,500,600,0,1,2.03,4,0.998964533579
415,500,600,1,0,5.24656891823,3,1.0
416,1000,600,0,1,2.903,3,0.997549687252
417,1000,600,1,0,12.5672388077,3,1.0
418,1000,600,0,1,2.827,3,0.99777220626
419,1000,600,1,0,12.5187270641,3,1.0
420,1500,600,0,1,3.995,3,0.997456434685
421,1500,600,1,0,19.5652079582,3,1.0
422,1500,600,0,1,4.053,3,0.996835260487
423,1500,600,1,0,19.5108220577,3,1.0
424,2000,600,0,1,5.432,3,0.996867838556
425,2000,600,1,0,26.3485798836,3,1.0
426,2000,600,0,1,5.368,3,0.997075015287
427,2000,600,1,0,26.3707790375,3,1.0
428,2500,600,0,1,6.861,3,0.997370135555
429,2500,600,1,0,33.1039390564,3,1.0
430,2500,600,0,1,6.558,3,0.995877008639
431,2500,600,1,0,33.2014970779,3,1.0
432,5000,600,0,1,15.415,3,0.997015775835
433,5000,600,1,0,67.7680139542,3,1.0
434,5000,600,0,1,22.803,3,0.992800611437
435,5000,600,1,0,67.6316199303,3,1.0
436,10000,600,0,1,70.162,3,0.994187788007
437,10000,600,1,0,140.428406,3,1.0
438,10000,600,0,1,49.0,3,0.996731410139
439,10000,600,1,0,142.088038921,3,1.0
440,100,1000,0,1,10.757,5,0.996166515726
441,100,1000,1,0,3.11007595062,3,1.0
442,100,1000,0,1,1.546,3,0.997210755515
443,100,1000,1,0,3.43530392647,3,1.0
